Steering wheel angle_ma1,Steering wheel angle_ma2,Steering wheel angle_ma3,Steering wheel angle_ma4,Steering wheel angle_ma5,Brake pedal force_ma1,Brake pedal force_ma2,Brake pedal force_ma3,Brake pedal force_ma4,Brake pedal force_ma5,Gas pedal_ma1,Gas pedal_ma2,Gas pedal_ma3,Gas pedal_ma4,Gas pedal_ma5,Brake pedal_ma1,Brake pedal_ma2,Brake pedal_ma3,Brake pedal_ma4,Brake pedal_ma5,Clutch pedal_ma1,Clutch pedal_ma2,Clutch pedal_ma3,Clutch pedal_ma4,Clutch pedal_ma5,Left turn_ma1,Left turn_ma2,Left turn_ma3,Left turn_ma4,Left turn_ma5,Right turn_ma1,Right turn_ma2,Right turn_ma3,Right turn_ma4,Right turn_ma5,Gear_ma1,Gear_ma2,Gear_ma3,Gear_ma4,Gear_ma5,speed_ma1,speed_ma2,speed_ma3,speed_ma4,speed_ma5,RPM_ma1,RPM_ma2,RPM_ma3,RPM_ma4,RPM_ma5,maniobra
-3.767333333333333,0.3466666666666666,-0.8424,-0.4801333333333333,-0.669,1.36,1.36,1.36,1.36,1.36,41039.86666666667,39018.183333333334,32969.77,36390.54666666667,35952.21,0.0,0.0,0.0,0.0,0.0,15201.366666666667,16242.066666666668,23628.21,17826.54,17036.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.6,2.4,2.28,62.275666666666666,61.003166666666665,60.54679999999999,57.63133333333332,53.302,3347.265533333333,3237.4385333333335,2991.97554,2839.23902,2650.8652999999995,3step-Turning
-2.981333333333333,-2.8256666666666663,-0.3886,-1.0152,-0.8643000000000001,1.36,1.36,1.36,1.36,1.36,41729.433333333334,40727.2,35440.09,36309.6,37730.805,0.0,0.0,0.0,0.0,0.0,8937.033333333333,12498.533333333333,19379.74,17810.68666666667,14972.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.82,2.533333333333333,2.4,64.62033333333333,62.97033333333333,61.6104,59.92260000000001,56.0377,2829.4200666666666,3061.254633333333,2896.12707,2865.3993266666666,2691.49849,3step-Turning
0.0,-2.021333333333333,-0.18259999999999998,-1.1652,-0.6275,1.36,1.36,1.36,1.36,1.36,47811.8,44793.066666666666,41943.22,37270.333333333336,38691.355,0.0,0.0,0.0,0.0,0.0,875.9,6989.283333333334,11010.94,16982.706666666665,14325.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.6666666666666665,2.5,67.63333333333334,65.50166666666668,63.346799999999995,61.98073333333334,58.81325,2408.6375,2787.4904833333335,2939.95788,2844.883366666667,2736.614415,3step-Turning
0.0,-0.651,-1.6954,-0.4169333333333334,-0.6584,1.36,1.36,1.36,1.36,1.36,51146.166666666664,47327.666666666664,44527.94,37974.45333333333,39364.69,0.0,0.0,0.0,0.0,0.0,2719.8,3469.4,8315.06,16748.82,14087.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.8,2.6,71.61300000000001,68.81649999999999,66.0174,63.93920000000001,61.525549999999996,2555.1741333333334,2527.4022666666665,2843.63474,2812.306986666667,2773.0598499999996,3step-Turning
0.0,0.0,-1.2128,-0.12173333333333332,-0.828,1.36,1.36,1.36,1.36,1.36,33822.36666666667,42662.066666666666,42245.75,40331.44666666666,37832.02,0.0,0.0,0.0,0.0,0.0,18531.6,9464.966666666667,9872.55,12791.773333333333,15879.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,2.7,75.07866666666668,72.30333333333333,68.9928,65.97106666666667,64.045,2770.5223666666666,2625.18835,2759.67194,2821.794193333333,2810.017725,3step-Turning
0.0,0.0,-0.3906,-0.7322666666666667,-0.6164999999999999,4.086,2.7230000000000003,2.1778,1.9052000000000002,1.7689000000000001,4089.6,25616.516666666666,33902.22,35823.56,33435.995,923.0333333333333,461.51666666666665,276.91,184.60666666666665,138.455,57085.96666666667,30882.633333333335,19795.28,18476.38,21711.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,2.8,74.83033333333333,74.24016666666667,71.289,67.99086666666668,65.9179,2342.1824666666666,2484.0838833333332,2487.9450899999997,2754.255086666667,2739.9603150000003,3step-Turning
-1.7466666666666668,-0.8733333333333333,-0.524,-1.3632,-0.45630000000000004,29.31766666666667,15.338833333333332,9.747300000000001,6.951533333333334,5.55365,0.0,9176.033333333333,25597.24,30809.453333333335,30518.665,9463.933333333332,4731.966666666666,2839.18,1892.7866666666666,1419.59,64253.0,50940.4,31380.18,24804.193333333333,25379.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,2.91,66.89833333333333,71.1755,70.9405,68.45193333333333,66.27545,1444.4254333333333,2052.162866666667,2238.1796799999997,2501.27916,2567.153375,3step-Turning
-2.196,-1.56,-0.936,-1.2202666666666666,-0.5593,45.864,30.729333333333333,18.9816,13.107733333333332,10.1708,0.0,0.0,15369.91,25410.713333333333,28656.565,15064.3,9941.5,5964.9,3976.6,2982.45,64253.0,64253.0,44230.78,31274.593333333334,27620.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7666666666666666,2.3833333333333333,2.63,2.7533333333333334,2.815,44.303999999999995,58.381499999999996,64.72070000000001,65.19800000000001,64.03375,1094.1755,1452.5312833333332,1958.69642,2196.9718666666668,2449.32715,3step-Turning
-2.06,-2.246666666666667,-1.348,-0.8986666666666667,-1.5217,17.953666666666667,30.915666666666663,19.911199999999997,13.727466666666666,10.6356,0.0,0.0,5505.62,19808.966666666667,25016.78,5617.466666666666,10004.666666666666,6279.71,4186.473333333333,3139.855,64253.0,64253.0,56265.44,38229.433333333334,32290.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,2.05,2.43,2.62,2.715,20.450333333333333,38.85916666666666,53.3146,58.7664,59.666000000000004,970.1186666666667,1097.663,1630.10153,1914.426253333333,2236.8681349999997,3step-Turning
-9.26,-9.26,-9.26,-9.26,-9.26,1.36,1.36,1.36,1.36,1.36,34891.0,34891.0,34891.0,34891.0,34891.0,0.0,0.0,0.0,0.0,0.0,7517.0,7517.0,7517.0,7517.0,7517.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,33.51,33.51,33.51,33.51,33.51,2452.381,2452.381,2452.381,2452.381,2452.381,3step-Turning
